Title,URL,Description,Details,Journal,Year,Resource,Type,Identifiers,Db,EntrezUID,cDate,First_Author,University,Author_Number,pmid
Copper-catalyzed/mediated borylation reactions of epoxides with diboron reagents: access to β-hydroxyl boronic esters.,/pubmed/28008446,"Ahmed EM, Lu X, Gong TJ, Zhang ZQ, Xiao B, Fu Y.",Chem Commun (Camb). 2016 Dec 23. doi: 10.1039/c6cc07924e. [Epub ahead of print],Chem Commun (Camb), 2016,PubMed,citation,PMID:28008446,pubmed,28008446,2016/12/23 , Ahmed EM,Khartoum,6,28008446
Molecular Evidence of High Proportion of Plasmodium vivax Malaria Infection in White Nile Area in Sudan.,/pubmed/27980861,"Suliman MM, Hamad BM, Albasheer MM, Elhadi M, Amin Mustafa M, Elobied M, Hamid MM.",J Parasitol Res. 2016;2016:2892371.,J Parasitol Res, 2016,PubMed,citation,PMID:27980861 | PMCID:PMC5131248,pubmed,27980861,2016/12/17 , Suliman MM,Khartoum,7,27980861 | PMCID:PMC5131248
Association analysis of IGF-I gene expression with growth and reproductive traits in Jinghai yellow chickens.,/pubmed/27966760,"Abdalhag MA, Li T, Duan L, Zhang T, Zhang G, Wang J, Wang Y.",Genet Mol Res. 2016 Dec 2;15(4). doi: 10.4238/gmr15049205.,Genet Mol Res, 2016,PubMed,citation,PMID:27966760,pubmed,27966760,2016/12/15 , Abdalhag MA,Khartoum,7,27966760
Erratum to: Molecular Detection of Epstein - Barr virus in Nasopharyngeal Carcinoma among Sudanese population.,/pubmed/27956937,"Edris A, Mohamed MA, Mohamed NS, Siddig EE.",Infect Agent Cancer. 2016 Nov 30;11:60.,Infect Agent Cancer, 2016,PubMed,citation,PMID:27956937 | PMCID:PMC5129250,pubmed,27956937,2016/12/14 , Edris A,Khartoum,4,27956937 | PMCID:PMC5129250
Three new cyclotetrapeptides isolated from Streptomyces sp. 447.,/pubmed/27936924,Abdalla MA.,Nat Prod Res. 2016 Dec 9:1-8. [Epub ahead of print],Nat Prod Res, 2016,PubMed,citation,PMID:27936924,pubmed,27936924,2016/12/13 , Abdalla MA,Khartoum,1,27936924
Fusarium species causing eumycetoma: Report of two cases and comprehensive review of the literature.,/pubmed/27928841,"Al-Hatmi AM, Bonifaz A, Tirado-Sánchez A, Meis JF, de Hoog GS, Ahmed SA.",Mycoses. 2016 Dec 7. doi: 10.1111/myc.12590. [Epub ahead of print],Mycoses, 2016,PubMed,citation,PMID:27928841,pubmed,27928841,2016/12/09 , Al-Hatmi AM,Khartoum,6,27928841
"Burden of Diarrhea in the Eastern Mediterranean Region, 1990-2013: Findings from the Global Burden of Disease Study 2013.",/pubmed/27928080,"Khalil I, Colombara DV, Forouzanfar MH, Troeger C, Daoud F, Moradi-Lakeh M, Bcheraoui CE, Rao PC, Afshin A, Charara R, Abate KH, Razek MM, Abd-Allah F, Abu-Elyazeed R, Kiadaliri AA, Akanda AS, Akseer N, Alam K, Alasfoor D, Ali R, AlMazroa MA, Alomari MA, et al.",Am J Trop Med Hyg. 2016 Dec 7;95(6):1319-1329.,Am J Trop Med Hyg, 2016,PubMed,citation,PMID:27928080 | PMCID:PMC5154365,pubmed,27928080,2016/12/09 , Khalil I,Khartoum,23,27928080 | PMCID:PMC5154365
Milk protein polymorphisms and casein haplotypes in Butana cattle.,/pubmed/27924448,"Ahmed AS, Rahmatalla S, Bortfeldt R, Arends D, Reissmann M, Brockmann GA.",J Appl Genet. 2016 Dec 6. [Epub ahead of print],J Appl Genet, 2016,PubMed,citation,PMID:27924448,pubmed,27924448,2016/12/08 , Ahmed AS,Khartoum,6,27924448
Dental Erosion and Dentin Hypersensitivity among Adult Asthmatics and Non-asthmatics Hospital-based: A Preliminary Study.,/pubmed/27924166,"Farag ZH, Awooda EM.",Open Dent J. 2016 Nov 4;10:587-593.,Open Dent J, 2016,PubMed,citation,PMID:27924166 | PMCID:PMC5109586,pubmed,27924166,2016/12/08 , Farag ZH,Khartoum,2,27924166 | PMCID:PMC5109586
"Anemia, Iron Supplementation and Susceptibility to Plasmodium falciparum Malaria.",/pubmed/27919755,Adam I.,EBioMedicine. 2016 Dec;14:13-14. doi: 10.1016/j.ebiom.2016.11.036. No abstract available.,EBioMedicine, 2016,PubMed,citation,PMID:27919755 | PMCID:PMC5161432,pubmed,27919755,2016/12/07 , Adam I,Khartoum,1,27919755 | PMCID:PMC5161432
